City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,tupiza,-21.45,-65.7167,20.25,41,23,3.16,BO,1732978794
316,pagar alam,-4.0167,103.2667,21.6,97,98,1.73,ID,1732978795
317,dawei,14.0833,98.2,22.57,70,1,1.86,MM,1732978796
318,la ronge,55.1001,-105.2842,-27.86,76,0,2.57,CA,1732978797
319,kapa'a,22.0752,-159.319,19.71,95,94,3.35,US,1732978798
320,turabah,21.2141,41.6331,24.72,31,0,5.46,SA,1732978799
321,njombe,-9.3333,34.7667,15.49,93,100,2.4,TZ,1732978801
322,angaur state,6.906,134.13,29.31,74,60,4.28,PW,1732978802
323,vammala,61.3333,22.9,4.02,89,100,5.65,FI,1732978803
324,bilovods'k,49.2085,39.5897,-0.14,72,100,1.74,UA,1732978804
325,haimen,23.1935,116.6142,16.94,73,28,3.06,CN,1732978805
326,usogorsk,63.4106,48.6872,-3.83,89,100,4.38,RU,1732978807
327,uturoa,-16.7333,-151.4333,27.13,78,64,4.17,PF,1732978808
328,amontada,-3.3617,-39.8317,35.78,35,25,3.74,BR,1732978809
329,yelizovo,53.1873,158.3805,0.08,100,75,2.0,RU,1732978810
330,kisanga,-7.4362,37.7034,25.74,88,86,1.77,TZ,1732978811
331,napili-honokowai,20.9708,-156.6705,23.43,81,100,5.82,US,1732978812
332,abashiri,44.0213,144.2697,-0.06,62,8,4.18,JP,1732978813
333,nizhniy odes,63.6445,54.856,-4.93,91,96,4.52,RU,1732978814
334,praia da vitoria,38.7333,-27.0667,19.14,77,20,6.57,PT,1732978816
335,opuwo,-18.0607,13.84,37.35,7,98,5.43,NA,1732978817
336,mossel bay,-34.1831,22.146,21.96,66,49,4.36,ZA,1732978818
337,ambon,-3.6954,128.1814,28.26,95,40,2.57,ID,1732978819
338,aripuana,-9.1667,-60.6333,32.71,51,100,1.32,BR,1732978820
339,tazovsky,67.4667,78.7,-9.4,91,100,8.41,RU,1732978821
340,road town,18.4167,-64.6167,29.02,74,38,4.63,VG,1732978822
